Bacterium_strain | Antibiotic | Year | Country | Resistance percent (DEFAULT SET TO 1)
Acinetobacter | Fluoroquinolones | 2012 | Belgium | 1
Acinetobacter | Fluoroquinolones | 2012 | Finland | 1
Acinetobacter | Fluoroquinolones | 2012 | Sweden | 1
Acinetobacter | Fluoroquinolones | 2012 | Ireland | 1
Acinetobacter | Fluoroquinolones | 2012 | Denmark  | 12.0
Acinetobacter | Fluoroquinolones | 2012 | Netherlands  | 0.0
Acinetobacter | Fluoroquinolones | 2012 | UnitedKingdom  | 2.9
Acinetobacter | Fluoroquinolones | 2012 | Germany  | 8.3
Acinetobacter | Fluoroquinolones | 2012 | Norway  | 0.0
Acinetobacter | Fluoroquinolones | 2012 | Malta | 1
Acinetobacter | Fluoroquinolones | 2012 | France  | 15.6
Acinetobacter | Fluoroquinolones | 2012 | Austria | 1
Acinetobacter | Fluoroquinolones | 2012 | CzechRepublic | 1
Acinetobacter | Fluoroquinolones | 2012 | Slovakia | 1
Acinetobacter | Fluoroquinolones | 2012 | Portugal  | 77.4
Acinetobacter | Fluoroquinolones | 2012 | Slovenia  | 28.0
Acinetobacter | Fluoroquinolones | 2012 | Spain | 1
Acinetobacter | Fluoroquinolones | 2012 | Hungary  | 78.0
Acinetobacter | Fluoroquinolones | 2012 | Latvia | 1
Acinetobacter | Fluoroquinolones | 2012 | Bulgaria  | 69.2
Acinetobacter | Fluoroquinolones | 2012 | Italy  | 86.0
Acinetobacter | Fluoroquinolones | 2012 | Romania  | 88.9
Acinetobacter | Fluoroquinolones | 2012 | Cyprus  | 56.5
Acinetobacter | Fluoroquinolones | 2012 | Poland  | 78.0
Acinetobacter | Fluoroquinolones | 2012 | Croatia | 1
Acinetobacter | Fluoroquinolones | 2012 | Lithuania | 1
Acinetobacter | Fluoroquinolones | 2012 | Greece  | 93.1
Acinetobacter | Fluoroquinolones | 2012 | Estonia | 1
Acinetobacter | Fluoroquinolones | 2012 | Iceland | 1
Acinetobacter | Fluoroquinolones | 2012 | Luxembourg | 1
Acinetobacter | Fluoroquinolones | 2013 | Belgium | 1
Acinetobacter | Fluoroquinolones | 2013 | Finland  | 2.8
Acinetobacter | Fluoroquinolones | 2013 | Sweden  | 5.4
Acinetobacter | Fluoroquinolones | 2013 | Ireland  | 1.1
Acinetobacter | Fluoroquinolones | 2013 | Denmark  | 6.3
Acinetobacter | Fluoroquinolones | 2013 | Netherlands  | 2.9
Acinetobacter | Fluoroquinolones | 2013 | UnitedKingdom  | 3.6
Acinetobacter | Fluoroquinolones | 2013 | Germany  | 9.7
Acinetobacter | Fluoroquinolones | 2013 | Norway  | 0.0
Acinetobacter | Fluoroquinolones | 2013 | Malta | 1
Acinetobacter | Fluoroquinolones | 2013 | France  | 13.6
Acinetobacter | Fluoroquinolones | 2013 | Austria  | 21.6
Acinetobacter | Fluoroquinolones | 2013 | CzechRepublic  | 19.8
Acinetobacter | Fluoroquinolones | 2013 | Slovakia  | 58.5
Acinetobacter | Fluoroquinolones | 2013 | Portugal  | 68.9
Acinetobacter | Fluoroquinolones | 2013 | Slovenia  | 28.0
Acinetobacter | Fluoroquinolones | 2013 | Spain  | 72.4
Acinetobacter | Fluoroquinolones | 2013 | Hungary  | 73.5
Acinetobacter | Fluoroquinolones | 2013 | Latvia | 1
Acinetobacter | Fluoroquinolones | 2013 | Bulgaria  | 70.2
Acinetobacter | Fluoroquinolones | 2013 | Italy  | 83.1
Acinetobacter | Fluoroquinolones | 2013 | Romania  | 90.5
Acinetobacter | Fluoroquinolones | 2013 | Cyprus  | 60.6
Acinetobacter | Fluoroquinolones | 2013 | Poland  | 81.4
Acinetobacter | Fluoroquinolones | 2013 | Croatia  | 92.9
Acinetobacter | Fluoroquinolones | 2013 | Lithuania | 1
Acinetobacter | Fluoroquinolones | 2013 | Greece  | 95.0
Acinetobacter | Fluoroquinolones | 2013 | Estonia | 1
